127.0.0.1 - - [25/Sep/2020:22:11:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:11:19 +0530] "GET /coronokit/ HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:11:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:11:29 +0530] "POST /coronokit/admin?action=login HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:11:38 +0530] "POST /coronokit/list?action=list HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:11:40 +0530] "POST /coronokit/list?action=list HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:11:42 +0530] "POST /coronokit/editproduct.jsp?pid=6 HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:11:44 +0530] "POST /coronokit/editproduct?action=list HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:11:49 +0530] "POST /coronokit/index.jsp?action=logout HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:11:54 +0530] "GET /coronokit/newuser.jsp?action=newuser HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:01 +0530] "POST /coronokit/insertuser?action=insertuser HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:04 +0530] "POST /coronokit/showkit?action=showkit HTTP/1.1" 500 632
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:09 +0530] "GET /coronokit/index.jsp HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:13 +0530] "GET /coronokit/newuser.jsp?action=newuser HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:18 +0530] "POST /coronokit/insertuser?action=insertuser HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:29 +0530] "POST /coronokit/showkit?action=showkit HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:34 +0530] "POST /coronokit/showkit?action=showkit HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:36 +0530] "POST /coronokit/ordersummary?action=ordersummary HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:40 +0530] "POST /coronokit/showkit?action=showkit HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:41 +0530] "POST /coronokit/ordersummary?action=ordersummary HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:43 +0530] "POST /coronokit/saveorder?action=saveorder HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:45 +0530] "GET /coronokit/index.jsp HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:47 +0530] "POST /coronokit/admin?action=login HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:12:51 +0530] "POST /coronokit/admin?action=login HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:13:31 +0530] "POST /coronokit/list?action=list HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:13:32 +0530] "POST /coronokit/list?action=list HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:13:33 +0530] "POST /coronokit/list?action=list HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:13:34 +0530] "POST /coronokit/list?action=list HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:13:34 +0530] "POST /coronokit/list?action=list HTTP/1.1" 200 5997
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:13:36 +0530] "POST /coronokit/editproduct.jsp?pid=6 HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:13:40 +0530] "POST /coronokit/editproduct?action=list HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:13:45 +0530] "GET /coronokit/index.jsp HTTP/1.1" 200 941
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:13:48 +0530] "POST /coronokit/admin?action=login HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [25/Sep/2020:22:13:52 +0530] "POST /coronokit/list?action=list HTTP/1.1" 200 6000
